report_id,outcome,num_ppl_fined,fine,num_ppl_arrested,prison_time,prison_time_unit
MOR44305,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR50908,Confiscation & arrest,0,0.0,5,0.0,N/A
MOR36922,Confiscation,0,0.0,0,0.0,N/A
MOR43782,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR45075,Investigation ongoing,0,0.0,0,0.0,N/A
MOR30549,Confiscation,0,0.0,0,0.0,N/A
MOR18307,Confiscation,0,0.0,0,0.0,N/A
MOR25307,Confiscation,0,0.0,0,0.0,N/A
MOR48421,Conviction - court fine & imprisonment,1,9377.52,1,66.0,Months
MOR46834,Conviction - imprisonment,0,0.0,1,15.0,Months
MOR29726,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR25778,Charged - No further details,0,0.0,0,0.0,N/A
MOR45189,Confiscation,0,0.0,0,0.0,N/A
MOR29030,Conviction - court fine,3,29641.900390625,0,0.0,N/A
MOR29374,Confiscation,0,0.0,0,0.0,N/A
MOR36474,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR49332,Confiscation,0,0.0,0,0.0,N/A
MOR9501,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR39788,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR36461,Charged - No further details,0,0.0,1,0.0,N/A
MOR15276,Charged - Pending court case,0,0.0,1,0.0,N/A
MOR8215,Charged - No further details,0,0.0,2,0.0,N/A
MOR17129,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR25899,Conviction - court fine & imprisonment,1,0.0,0,18.0,Months
MOR42104,Confiscation,0,0.0,0,0.0,N/A
MOR8967,-,0,0.0,0,0.0,N/A
MOR1164,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR39910,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR28387,Confiscation,0,0.0,0,0.0,N/A
MOR32343,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR32340,Confiscation,0,0.0,0,0.0,N/A
MOR49679,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR14199,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR10271,Confiscation,0,0.0,0,0.0,N/A
MOR28377,Confiscation,0,0.0,0,0.0,N/A
MOR31561,Confiscation,0,0.0,0,0.0,N/A
MOR27653,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR17161,Charged - Bail granted,0,0.0,0,0.0,N/A
MOR47786,Confiscation & arrest,0,0.0,15,0.0,N/A
MOR9573,-,0,0.0,0,0.0,N/A
MOR36026,Confiscation,0,0.0,0,0.0,N/A
MOR49873,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR30501,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR30687,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR37533,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR5737,Conviction - court fine & imprisonment,4,37973.7,4,30.5,Years
MOR28656,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR50812,Confiscation,0,0.0,0,0.0,N/A
MOR36856,Charged - No further details,0,0.0,0,0.0,N/A
MOR31915,Confiscation,0,0.0,0,0.0,N/A
MOR43812,Confiscation & arrest,0,0.0,5,0.0,N/A
MOR20625,Charged - Pending court case,0,0.0,0,0.0,N/A
MOR28025,Charged - No further details,0,0.0,0,0.0,N/A
MOR50773,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR12905,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR30618,Confiscation,0,0.0,0,0.0,N/A
MOR33039,Confiscation,0,0.0,0,0.0,N/A
MOR36921,Confiscation,0,0.0,0,0.0,N/A
MOR26140,Charged - No further details,0,0.0,0,0.0,N/A
MOR28169,Conviction - imprisonment,0,0.0,0,11.60000038147,Years
MOR35299,Investigation ongoing,0,0.0,0,0.0,N/A
MOR30774,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR32842,Charged - No further details,0,0.0,0,0.0,N/A
MOR43846,Confiscation,0,0.0,0,0.0,N/A
MOR45610,Charged - No further details,0,0.0,6,0.0,N/A
MOR15278,Charged - Pending court case,0,0.0,3,0.0,N/A
MOR44328,Confiscation,0,0.0,0,0.0,N/A
MOR26587,Conviction - imprisonment,0,0.0,0,1.0,Years
MOR48547,Charged - Bail granted,0,0.0,2,0.0,N/A
MOR10079,Conviction - court fine & imprisonment,3,21296.55,3,51.0,Months
MOR29561,Confiscation,0,0.0,0,0.0,N/A
MOR46661,Charged - Pending court case,0,0.0,5,0.0,N/A
MOR18460,Confiscation,0,0.0,0,0.0,N/A
MOR55340,Confiscation,0,0.0,0,0.0,N/A
MOR15603,Charged - Pending court case,0,0.0,0,0.0,N/A
MOR15698,Confiscation,0,0.0,0,0.0,N/A
MOR49524,Confiscation,0,0.0,0,0.0,N/A
MOR33736,Confiscation,0,0.0,0,0.0,N/A
MOR49946,Conviction - court fine or imprisonment,1,1354.86,1,3.0,Years
MOR52106,Charged - No further details,0,0.0,3,0.0,N/A
MOR38273,Charged - No further details,0,0.0,1,0.0,N/A
MOR27255,Confiscation,0,0.0,0,0.0,N/A
MOR49808,Confiscation,0,0.0,0,0.0,N/A
MOR37963,Investigation ongoing,0,0.0,2,0.0,N/A
MOR28121,Charged - Bail granted,0,0.0,0,0.0,N/A
MOR4967,Confiscation,0,0.0,0,0.0,N/A
MOR30745,Confiscation & arrest,0,0.0,0,0.0,N/A
