"Date","FITLX","MKT","RF","SMB","HML","MOM","BAB","QMJ"
2023-05-18,0.985759270613595,0.95,0.02,-0.29,-0.87,-0.15,-0.64,0.3
2023-05-19,-0.162691229166922,-0.2,0.02,-0.41,0.07,0.31,0.28,0.05
2023-05-22,0.217271632619864,0.17,0.02,0.83,-0.12,-1.39,-0.86,-1.03
2023-05-23,-1.3550115093929,-1.07,0.02,0.43,1.34,-0.91,0.1,0.02
2023-05-24,-0.989009054933943,-0.76,0.02,-0.4,-0.41,0.57,0,0.21
2023-05-25,1.72031153239771,0.56,0.02,-1.11,-1.38,1.42,-1.23,0.98
2023-05-26,1.14566233090301,1.3,0.02,-0.3,-0.96,-0.35,-0.74,0.19
2023-05-30,-0.107879277624123,-0.04,0.02,-0.22,-0.58,-0.23,-0.85,-0.19
2023-05-31,-0.809931902746075,-0.62,0.02,-0.35,-0.71,0.29,0.05,-0.55
2023-06-01,1.14316771155216,1.06,0.02,0.11,-0.08,0.22,-0.19,0.02
2023-06-02,1.50699612231819,1.66,0.02,1.5,1.12,-0.82,0.47,0.23
2023-06-05,-0.106048878659726,-0.27,0.02,-0.87,-0.54,0.05,-0.37,-0.3
2023-06-06,0.212312681096716,0.51,0.02,1.92,0.83,-0.94,-0.41,-0.44
2023-06-07,-0.688551770264567,-0.26,0.02,1.57,2.26,-0.47,1.24,0.1
2023-06-08,0.58666493770061,0.54,0.02,-0.76,-0.88,0.55,-0.47,0.26
2023-06-09,0.212087525879157,0.03,0.02,-0.77,-0.23,0.17,-0.23,-0.01
2023-06-12,0.899471990675615,0.9,0.02,-0.35,-1.53,-0.06,-0.8,0.11
2023-06-13,0.943889086935723,0.79,0.02,0.48,-0.14,-0.67,-0.55,-0.31
2023-06-14,0.311681026601707,-0.01,0.02,-0.84,-0.86,1.22,-0.13,0.52
2023-06-15,1.34645788341896,1.22,0.02,-0.4,0.05,-0.67,-0.03,0.2
